created,id_sensor,type,unit,value
2020-09-01T00:01:05.000Z,TN02_T_0,soil_temperature,°C,20.6
2020-09-01T00:16:05.000Z,TN02_T_0,soil_temperature,°C,20.6
2020-09-01T00:31:05.000Z,TN02_T_0,soil_temperature,°C,20.5
2020-09-01T00:46:05.000Z,TN02_T_0,soil_temperature,°C,20.4
2020-09-01T01:01:05.000Z,TN02_T_0,soil_temperature,°C,20.4
2020-09-01T01:16:05.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-01T01:31:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-01T01:46:05.000Z,TN02_T_0,soil_temperature,°C,20.1
2020-09-01T02:01:05.000Z,TN02_T_0,soil_temperature,°C,20.1
2020-09-01T02:16:05.000Z,TN02_T_0,soil_temperature,°C,20.0
2020-09-01T02:31:05.000Z,TN02_T_0,soil_temperature,°C,19.9
2020-09-01T02:46:05.000Z,TN02_T_0,soil_temperature,°C,19.9
2020-09-01T03:01:05.000Z,TN02_T_0,soil_temperature,°C,19.8
2020-09-01T03:16:05.000Z,TN02_T_0,soil_temperature,°C,19.7
2020-09-01T03:31:05.000Z,TN02_T_0,soil_temperature,°C,19.7
2020-09-01T03:46:05.000Z,TN02_T_0,soil_temperature,°C,19.6
2020-09-01T04:01:05.000Z,TN02_T_0,soil_temperature,°C,19.5
2020-09-01T04:16:05.000Z,TN02_T_0,soil_temperature,°C,19.5
2020-09-01T04:31:05.000Z,TN02_T_0,soil_temperature,°C,19.4
2020-09-01T04:46:05.000Z,TN02_T_0,soil_temperature,°C,19.3
2020-09-01T05:01:05.000Z,TN02_T_0,soil_temperature,°C,19.3
2020-09-01T05:16:05.000Z,TN02_T_0,soil_temperature,°C,19.2
2020-09-01T05:31:05.000Z,TN02_T_0,soil_temperature,°C,19.1
2020-09-01T05:46:05.000Z,TN02_T_0,soil_temperature,°C,19.1
2020-09-01T11:31:05.000Z,TN02_T_0,soil_temperature,°C,20.6
2020-09-02T10:16:05.000Z,TN02_T_0,soil_temperature,°C,20.5
2020-09-02T14:31:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-02T14:46:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-03T08:46:05.000Z,TN02_T_0,soil_temperature,°C,19.5
2020-09-03T09:31:05.000Z,TN02_T_0,soil_temperature,°C,19.6
2020-09-03T11:01:05.000Z,TN02_T_0,soil_temperature,°C,20.6
2020-09-03T11:16:05.000Z,TN02_T_0,soil_temperature,°C,20.9
2020-09-03T11:31:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-03T11:46:05.000Z,TN02_T_0,soil_temperature,°C,21.5
2020-09-03T12:16:05.000Z,TN02_T_0,soil_temperature,°C,22.1
2020-09-03T12:46:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-03T13:16:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-03T13:31:05.000Z,TN02_T_0,soil_temperature,°C,23.5
2020-09-03T13:46:05.000Z,TN02_T_0,soil_temperature,°C,23.8
2020-09-03T14:01:05.000Z,TN02_T_0,soil_temperature,°C,24.0
2020-09-03T14:16:05.000Z,TN02_T_0,soil_temperature,°C,24.2
2020-09-03T14:46:05.000Z,TN02_T_0,soil_temperature,°C,24.5
2020-09-03T15:01:05.000Z,TN02_T_0,soil_temperature,°C,24.6
2020-09-04T09:16:05.000Z,TN02_T_0,soil_temperature,°C,20.1
2020-09-04T09:46:13.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-04T10:01:06.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-04T11:01:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-04T11:16:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-04T11:31:05.000Z,TN02_T_0,soil_temperature,°C,21.6
2020-09-04T11:46:05.000Z,TN02_T_0,soil_temperature,°C,21.9
2020-09-04T12:01:05.000Z,TN02_T_0,soil_temperature,°C,22.2
2020-09-04T12:16:05.000Z,TN02_T_0,soil_temperature,°C,22.5
2020-09-04T12:31:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-04T12:46:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-04T13:01:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-04T13:16:05.000Z,TN02_T_0,soil_temperature,°C,23.9
2020-09-04T13:31:05.000Z,TN02_T_0,soil_temperature,°C,24.2
2020-09-04T13:46:05.000Z,TN02_T_0,soil_temperature,°C,24.6
2020-09-04T14:16:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-04T14:31:05.000Z,TN02_T_0,soil_temperature,°C,25.3
2020-09-04T14:46:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-04T15:01:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-04T15:31:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-04T16:16:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-04T17:01:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-04T17:16:05.000Z,TN02_T_0,soil_temperature,°C,25.4
2020-09-04T22:31:05.000Z,TN02_T_0,soil_temperature,°C,23.1
2020-09-05T00:16:05.000Z,TN02_T_0,soil_temperature,°C,22.4
2020-09-05T01:16:05.000Z,TN02_T_0,soil_temperature,°C,22.0
2020-09-05T03:01:05.000Z,TN02_T_0,soil_temperature,°C,21.4
2020-09-05T04:01:05.000Z,TN02_T_0,soil_temperature,°C,21.1
2020-09-05T06:31:05.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-05T06:46:05.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-05T07:16:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T07:46:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T08:01:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T08:16:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T08:31:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T08:46:05.000Z,TN02_T_0,soil_temperature,°C,20.2
2020-09-05T09:01:05.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-05T09:16:05.000Z,TN02_T_0,soil_temperature,°C,20.3
2020-09-05T09:31:05.000Z,TN02_T_0,soil_temperature,°C,20.4
2020-09-05T09:46:12.000Z,TN02_T_0,soil_temperature,°C,20.5
2020-09-05T10:01:06.000Z,TN02_T_0,soil_temperature,°C,20.6
2020-09-05T10:16:05.000Z,TN02_T_0,soil_temperature,°C,20.8
2020-09-05T10:31:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-05T10:46:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-05T11:01:05.000Z,TN02_T_0,soil_temperature,°C,21.5
2020-09-05T11:16:05.000Z,TN02_T_0,soil_temperature,°C,21.8
2020-09-05T11:31:05.000Z,TN02_T_0,soil_temperature,°C,22.1
2020-09-05T11:46:05.000Z,TN02_T_0,soil_temperature,°C,22.5
2020-09-05T12:01:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-05T12:16:05.000Z,TN02_T_0,soil_temperature,°C,23.3
2020-09-05T12:31:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-05T12:46:05.000Z,TN02_T_0,soil_temperature,°C,24.0
2020-09-05T13:01:05.000Z,TN02_T_0,soil_temperature,°C,24.4
2020-09-05T13:16:05.000Z,TN02_T_0,soil_temperature,°C,24.8
2020-09-05T13:31:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-05T13:46:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-05T14:01:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-05T14:16:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-05T14:31:05.000Z,TN02_T_0,soil_temperature,°C,26.2
2020-09-05T14:46:05.000Z,TN02_T_0,soil_temperature,°C,26.4
2020-09-05T15:16:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T15:31:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T15:46:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T16:01:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T16:16:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T16:31:05.000Z,TN02_T_0,soil_temperature,°C,26.6
2020-09-05T16:46:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-05T17:01:05.000Z,TN02_T_0,soil_temperature,°C,26.5
2020-09-05T20:31:05.000Z,TN02_T_0,soil_temperature,°C,25.2
2020-09-05T23:31:05.000Z,TN02_T_0,soil_temperature,°C,23.9
2020-09-06T00:01:05.000Z,TN02_T_0,soil_temperature,°C,23.7
2020-09-06T00:46:05.000Z,TN02_T_0,soil_temperature,°C,23.4
2020-09-06T01:46:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-06T02:01:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-06T02:31:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-06T02:46:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-06T03:31:05.000Z,TN02_T_0,soil_temperature,°C,22.4
2020-09-06T03:46:05.000Z,TN02_T_0,soil_temperature,°C,22.3
2020-09-06T06:46:05.000Z,TN02_T_0,soil_temperature,°C,21.4
2020-09-06T07:01:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T07:16:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T07:31:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T07:46:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-06T08:01:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-06T08:16:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-06T08:31:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-06T08:46:05.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-06T09:01:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T09:16:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T09:31:05.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-06T09:46:12.000Z,TN02_T_0,soil_temperature,°C,21.4
2020-09-06T10:01:06.000Z,TN02_T_0,soil_temperature,°C,21.5
2020-09-06T10:16:05.000Z,TN02_T_0,soil_temperature,°C,21.6
2020-09-06T10:31:05.000Z,TN02_T_0,soil_temperature,°C,21.7
2020-09-06T10:46:05.000Z,TN02_T_0,soil_temperature,°C,21.9
2020-09-06T11:01:05.000Z,TN02_T_0,soil_temperature,°C,22.1
2020-09-06T11:31:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-06T11:46:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-06T12:01:05.000Z,TN02_T_0,soil_temperature,°C,23.1
2020-09-06T12:16:05.000Z,TN02_T_0,soil_temperature,°C,23.4
2020-09-06T12:31:05.000Z,TN02_T_0,soil_temperature,°C,23.7
2020-09-06T12:46:05.000Z,TN02_T_0,soil_temperature,°C,24.0
2020-09-06T13:01:05.000Z,TN02_T_0,soil_temperature,°C,24.3
2020-09-06T13:16:05.000Z,TN02_T_0,soil_temperature,°C,24.6
2020-09-06T13:31:05.000Z,TN02_T_0,soil_temperature,°C,24.8
2020-09-06T13:46:05.000Z,TN02_T_0,soil_temperature,°C,25.0
2020-09-06T14:01:05.000Z,TN02_T_0,soil_temperature,°C,25.2
2020-09-06T14:16:05.000Z,TN02_T_0,soil_temperature,°C,25.3
2020-09-06T14:31:05.000Z,TN02_T_0,soil_temperature,°C,25.4
2020-09-06T14:46:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-06T15:16:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-06T15:31:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-06T16:16:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-06T19:01:05.000Z,TN02_T_0,soil_temperature,°C,25.0
2020-09-07T06:16:05.000Z,TN02_T_0,soil_temperature,°C,21.1
2020-09-07T07:31:05.000Z,TN02_T_0,soil_temperature,°C,20.9
2020-09-07T07:46:05.000Z,TN02_T_0,soil_temperature,°C,20.9
2020-09-07T08:01:05.000Z,TN02_T_0,soil_temperature,°C,20.9
2020-09-07T08:16:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-07T08:31:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-07T08:46:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-07T09:01:05.000Z,TN02_T_0,soil_temperature,°C,21.0
2020-09-07T09:16:05.000Z,TN02_T_0,soil_temperature,°C,21.1
2020-09-07T09:31:05.000Z,TN02_T_0,soil_temperature,°C,21.1
2020-09-07T09:46:13.000Z,TN02_T_0,soil_temperature,°C,21.2
2020-09-07T10:01:06.000Z,TN02_T_0,soil_temperature,°C,21.3
2020-09-07T10:16:05.000Z,TN02_T_0,soil_temperature,°C,21.4
2020-09-07T10:31:05.000Z,TN02_T_0,soil_temperature,°C,21.6
2020-09-07T10:46:05.000Z,TN02_T_0,soil_temperature,°C,21.8
2020-09-07T11:01:05.000Z,TN02_T_0,soil_temperature,°C,22.0
2020-09-07T11:16:05.000Z,TN02_T_0,soil_temperature,°C,22.2
2020-09-07T11:31:05.000Z,TN02_T_0,soil_temperature,°C,22.5
2020-09-07T11:46:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-07T12:01:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-07T12:16:05.000Z,TN02_T_0,soil_temperature,°C,23.3
2020-09-07T12:31:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-07T12:46:05.000Z,TN02_T_0,soil_temperature,°C,23.9
2020-09-07T13:01:05.000Z,TN02_T_0,soil_temperature,°C,24.1
2020-09-07T13:16:05.000Z,TN02_T_0,soil_temperature,°C,24.4
2020-09-07T13:31:05.000Z,TN02_T_0,soil_temperature,°C,24.7
2020-09-07T13:46:05.000Z,TN02_T_0,soil_temperature,°C,25.0
2020-09-07T14:01:05.000Z,TN02_T_0,soil_temperature,°C,25.2
2020-09-07T14:16:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-07T14:31:05.000Z,TN02_T_0,soil_temperature,°C,25.6
2020-09-07T14:46:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-07T15:01:05.000Z,TN02_T_0,soil_temperature,°C,25.9
2020-09-07T15:16:05.000Z,TN02_T_0,soil_temperature,°C,25.9
2020-09-07T15:31:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T15:46:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T16:01:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T16:16:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T16:31:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T16:46:05.000Z,TN02_T_0,soil_temperature,°C,26.0
2020-09-07T17:01:05.000Z,TN02_T_0,soil_temperature,°C,25.9
2020-09-07T17:16:05.000Z,TN02_T_0,soil_temperature,°C,25.9
2020-09-07T17:31:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-07T17:46:05.000Z,TN02_T_0,soil_temperature,°C,25.8
2020-09-07T18:01:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-07T18:16:05.000Z,TN02_T_0,soil_temperature,°C,25.7
2020-09-07T18:46:05.000Z,TN02_T_0,soil_temperature,°C,25.5
2020-09-07T19:31:05.000Z,TN02_T_0,soil_temperature,°C,25.3
2020-09-07T19:46:05.000Z,TN02_T_0,soil_temperature,°C,25.2
2020-09-07T20:01:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-07T20:16:05.000Z,TN02_T_0,soil_temperature,°C,25.1
2020-09-07T20:31:05.000Z,TN02_T_0,soil_temperature,°C,25.0
2020-09-07T20:46:05.000Z,TN02_T_0,soil_temperature,°C,24.9
2020-09-07T21:01:05.000Z,TN02_T_0,soil_temperature,°C,24.8
2020-09-07T21:16:05.000Z,TN02_T_0,soil_temperature,°C,24.7
2020-09-07T21:31:05.000Z,TN02_T_0,soil_temperature,°C,24.6
2020-09-07T21:46:05.000Z,TN02_T_0,soil_temperature,°C,24.5
2020-09-07T22:01:05.000Z,TN02_T_0,soil_temperature,°C,24.4
2020-09-07T22:16:05.000Z,TN02_T_0,soil_temperature,°C,24.3
2020-09-07T22:31:05.000Z,TN02_T_0,soil_temperature,°C,24.2
2020-09-07T22:46:05.000Z,TN02_T_0,soil_temperature,°C,24.1
2020-09-07T23:01:05.000Z,TN02_T_0,soil_temperature,°C,24.1
2020-09-07T23:46:05.000Z,TN02_T_0,soil_temperature,°C,23.8
2020-09-08T00:01:05.000Z,TN02_T_0,soil_temperature,°C,23.7
2020-09-08T00:16:05.000Z,TN02_T_0,soil_temperature,°C,23.6
2020-09-08T00:31:05.000Z,TN02_T_0,soil_temperature,°C,23.5
2020-09-08T00:46:05.000Z,TN02_T_0,soil_temperature,°C,23.5
2020-09-08T01:01:05.000Z,TN02_T_0,soil_temperature,°C,23.4
2020-09-08T01:16:05.000Z,TN02_T_0,soil_temperature,°C,23.3
2020-09-08T01:31:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-08T01:46:05.000Z,TN02_T_0,soil_temperature,°C,23.2
2020-09-08T02:01:05.000Z,TN02_T_0,soil_temperature,°C,23.1
2020-09-08T02:16:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-08T02:31:05.000Z,TN02_T_0,soil_temperature,°C,23.0
2020-09-08T02:46:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-08T03:01:05.000Z,TN02_T_0,soil_temperature,°C,22.9
2020-09-08T03:16:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-08T03:31:05.000Z,TN02_T_0,soil_temperature,°C,22.8
2020-09-08T03:46:05.000Z,TN02_T_0,soil_temperature,°C,22.7
2020-09-08T04:01:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-08T04:16:05.000Z,TN02_T_0,soil_temperature,°C,22.6
2020-09-08T04:31:05.000Z,TN02_T_0,soil_temperature,°C,22.5
2020-09-08T04:46:05.000Z,TN02_T_0,soil_temperature,°C,22.5
2020-09-08T05:01:05.000Z,TN02_T_0,soil_temperature,°C,22.4
