created,value
2020-09-01T00:02:05.000Z,20.6
2020-09-01T00:17:05.000Z,20.6
2020-09-01T00:32:05.000Z,20.5
2020-09-01T00:47:05.000Z,20.4
2020-09-01T01:02:05.000Z,20.4
2020-09-01T01:17:05.000Z,20.3
2020-09-01T01:32:05.000Z,20.2
2020-09-01T01:47:05.000Z,20.1
2020-09-01T02:02:05.000Z,20.1
2020-09-01T02:17:05.000Z,20.0
2020-09-01T02:32:05.000Z,19.9
2020-09-01T02:47:05.000Z,19.9
2020-09-01T03:02:05.000Z,19.8
2020-09-01T03:17:05.000Z,19.8
2020-09-01T03:32:05.000Z,19.7
2020-09-01T03:47:05.000Z,19.6
2020-09-01T04:02:05.000Z,19.6
2020-09-01T04:17:05.000Z,19.5
2020-09-01T04:32:05.000Z,19.4
2020-09-01T04:47:05.000Z,19.4
2020-09-01T05:02:05.000Z,19.3
2020-09-01T05:17:05.000Z,19.3
2020-09-01T05:32:05.000Z,19.2
2020-09-01T05:47:05.000Z,19.2
2020-09-01T06:02:05.000Z,19.1
2020-09-01T06:17:05.000Z,19.1
2020-09-01T06:32:05.000Z,19.0
2020-09-01T06:47:05.000Z,19.0
2020-09-01T06:47:05.000Z,19.0
2020-09-01T07:02:05.000Z,18.9
2020-09-01T07:17:05.000Z,18.9
2020-09-01T07:32:05.000Z,18.9
2020-09-01T07:32:05.000Z,18.9
2020-09-01T07:47:05.000Z,18.9
2020-09-01T07:47:05.000Z,18.9
2020-09-01T08:02:12.000Z,18.9
2020-09-01T08:17:06.000Z,18.9
2020-09-01T08:32:05.000Z,19.0
2020-09-01T08:32:05.000Z,19.0
2020-09-01T08:47:05.000Z,19.0
2020-09-01T08:47:05.000Z,19.0
2020-09-01T09:02:05.000Z,19.0
2020-09-01T09:17:05.000Z,19.1
2020-09-01T09:32:05.000Z,19.2
2020-09-01T09:47:05.000Z,19.3
2020-09-01T10:02:05.000Z,19.4
2020-09-01T10:17:05.000Z,19.6
2020-09-01T10:32:05.000Z,19.8
2020-09-01T10:32:05.000Z,19.8
2020-09-01T10:47:05.000Z,20.0
2020-09-01T11:02:05.000Z,20.3
2020-09-01T11:17:05.000Z,20.6
2020-09-01T11:32:05.000Z,20.8
2020-09-01T11:47:05.000Z,21.1
2020-09-01T12:02:05.000Z,21.3
2020-09-01T12:17:05.000Z,21.6
2020-09-01T12:32:05.000Z,21.8
2020-09-01T12:47:05.000Z,22.1
2020-09-01T12:47:05.000Z,22.1
2020-09-01T13:02:05.000Z,22.3
2020-09-01T13:17:05.000Z,22.5
2020-09-01T13:17:05.000Z,22.5
2020-09-01T13:32:05.000Z,22.6
2020-09-01T13:47:05.000Z,22.8
2020-09-01T14:02:05.000Z,23.0
2020-09-01T14:17:05.000Z,23.1
2020-09-01T14:17:05.000Z,23.1
2020-09-01T14:32:05.000Z,23.3
2020-09-01T14:47:05.000Z,23.5
2020-09-01T15:02:05.000Z,23.6
2020-09-01T15:02:05.000Z,23.6
2020-09-01T15:17:05.000Z,23.7
