created,value
2020-11-01T00:00:13.000Z,95.21
2020-11-01T00:05:13.000Z,95.27
2020-11-01T00:10:15.000Z,95.31
2020-11-01T00:15:12.000Z,95.33
2020-11-01T00:20:14.000Z,95.34
2020-11-01T00:25:14.000Z,95.36
2020-11-01T00:30:13.000Z,95.38
2020-11-01T00:35:31.000Z,95.38
2020-11-01T00:45:14.000Z,95.44
2020-11-01T00:50:14.000Z,95.45
2020-11-01T00:55:13.000Z,95.47
2020-11-01T01:00:14.000Z,95.48
2020-11-01T01:05:13.000Z,95.45
2020-11-01T01:10:15.000Z,95.48
2020-11-01T01:15:12.000Z,95.49
2020-11-01T01:20:14.000Z,95.5
2020-11-01T01:25:14.000Z,95.51
2020-11-01T01:30:13.000Z,95.54
2020-11-01T01:35:15.000Z,95.56
2020-11-01T01:40:12.000Z,95.56
2020-11-01T01:45:15.000Z,95.57
2020-11-01T01:50:13.000Z,95.58
2020-11-01T01:55:13.000Z,95.57
2020-11-01T02:00:31.000Z,95.57
2020-11-01T02:05:12.000Z,95.55
2020-11-01T02:10:14.000Z,95.59
2020-11-01T02:15:13.000Z,95.59
2020-11-01T02:20:15.000Z,95.62
2020-11-01T02:25:13.000Z,95.63
2020-11-01T02:30:13.000Z,95.63
2020-11-01T02:35:15.000Z,95.64
2020-11-01T02:40:12.000Z,95.64
2020-11-01T02:45:15.000Z,95.68
2020-11-01T02:50:12.000Z,95.69
2020-11-01T02:55:14.000Z,95.73
2020-11-01T03:00:14.000Z,95.75
2020-11-01T03:05:13.000Z,95.76
2020-11-01T03:10:14.000Z,95.75
2020-11-01T03:15:13.000Z,95.74
2020-11-01T03:20:15.000Z,95.74
2020-11-01T03:25:13.000Z,95.77
2020-11-01T03:30:13.000Z,95.79
2020-11-01T03:35:14.000Z,95.79
2020-11-01T03:40:13.000Z,95.8
2020-11-01T03:45:15.000Z,95.8
2020-11-01T03:50:12.000Z,95.82
2020-11-01T03:55:13.000Z,95.82
2020-11-01T04:00:14.000Z,95.86
2020-11-01T04:05:14.000Z,95.87
2020-11-01T04:10:13.000Z,95.87
2020-11-01T04:15:15.000Z,95.87
2020-11-01T04:20:12.000Z,95.87
2020-11-01T04:25:14.000Z,95.89
2020-11-01T04:30:31.000Z,95.9
2020-11-01T04:35:13.000Z,95.92
2020-11-01T04:40:13.000Z,95.93
2020-11-01T04:45:14.000Z,95.95
2020-11-01T04:50:13.000Z,95.96
2020-11-01T04:55:15.000Z,95.98
2020-11-01T05:00:12.000Z,95.99
2020-11-01T05:05:14.000Z,96.0
2020-11-01T05:10:14.000Z,95.99
2020-11-01T05:15:13.000Z,96.0
2020-11-01T05:20:14.000Z,96.0
2020-11-01T05:25:13.000Z,96.01
2020-11-01T05:30:14.000Z,96.0
2020-11-01T05:35:15.000Z,96.04
2020-11-01T05:40:13.000Z,96.04
2020-11-01T05:45:13.000Z,96.05
2020-11-01T05:50:14.000Z,96.04
2020-11-01T05:55:13.000Z,96.06
2020-11-01T06:00:15.000Z,96.08
2020-11-01T06:05:12.000Z,96.08
2020-11-01T06:10:15.000Z,96.09
2020-11-01T06:15:28.000Z,96.11
2020-11-01T06:20:14.000Z,96.11
2020-11-01T06:25:13.000Z,96.11
2020-11-01T06:30:13.000Z,96.11
2020-11-01T06:35:14.000Z,96.12
2020-11-01T06:40:15.000Z,96.14
2020-11-01T06:45:12.000Z,96.13
2020-11-01T06:50:14.000Z,96.13
2020-11-01T06:55:13.000Z,96.17
2020-11-01T07:00:14.000Z,96.19
2020-11-01T07:05:14.000Z,96.2
2020-11-01T07:10:13.000Z,96.21
2020-11-01T07:15:14.000Z,96.28
2020-11-01T07:20:13.000Z,96.23
2020-11-01T07:25:13.000Z,96.07
2020-11-01T07:30:14.000Z,95.99
2020-11-01T07:35:14.000Z,95.93
2020-11-01T07:40:13.000Z,95.87
2020-11-01T07:45:14.000Z,95.7
2020-11-01T07:50:13.000Z,95.79
2020-11-01T07:55:15.000Z,95.73
2020-11-01T08:00:13.000Z,95.83
2020-11-01T08:05:13.000Z,95.68
2020-11-01T08:10:14.000Z,95.51
2020-11-01T08:15:13.000Z,95.55
2020-11-01T08:20:14.000Z,95.52
2020-11-01T08:25:13.000Z,95.28
2020-11-01T08:30:15.000Z,95.21
2020-11-01T08:35:12.000Z,95.04
2020-11-01T08:40:15.000Z,94.49
2020-11-01T08:45:13.000Z,93.93
2020-11-01T08:50:13.000Z,93.34
2020-11-01T08:55:15.000Z,92.54
2020-11-01T09:00:12.000Z,91.49
2020-11-01T09:05:15.000Z,90.51
2020-11-01T09:10:13.000Z,90.47
2020-11-01T09:15:13.000Z,89.71
2020-11-01T09:20:14.000Z,88.74
2020-11-01T09:25:13.000Z,88.96
2020-11-01T09:30:14.000Z,87.43
2020-11-01T09:35:13.000Z,85.89
2020-11-01T09:40:14.000Z,85.12
2020-11-01T09:45:13.000Z,84.63
2020-11-01T09:50:15.000Z,82.0
2020-11-01T09:55:13.000Z,81.45
2020-11-01T10:00:14.000Z,81.25
2020-11-01T10:05:13.000Z,78.12
2020-11-01T10:15:16.000Z,76.28
2020-11-01T10:20:14.000Z,76.94
2020-11-01T10:25:12.000Z,76.44
2020-11-01T10:30:14.000Z,75.58
2020-11-01T10:35:14.000Z,74.99
2020-11-01T10:40:14.000Z,74.92
2020-11-01T10:45:14.000Z,74.96
2020-11-01T10:50:28.000Z,74.08
2020-11-01T10:55:14.000Z,73.73
2020-11-01T10:55:14.000Z,73.73
2020-11-01T11:00:13.000Z,74.52
2020-11-01T11:05:14.000Z,72.75
2020-11-01T11:10:14.000Z,72.43
2020-11-01T11:15:13.000Z,72.27
2020-11-01T11:20:13.000Z,73.06
2020-11-01T11:25:14.000Z,72.46
2020-11-01T11:30:14.000Z,72.71
2020-11-01T11:35:13.000Z,72.45
2020-11-01T11:40:14.000Z,71.28
